INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,BRITANNIA,29-Aug-24,0.0,XX,5220.0,5351.75,5170.0,5351.75,5351.75,13,136.6,1800,400,4-Jun-24,3446.55,10502.185,49.97146107445608,1140.7900485001182,1754.702026039528
,BSOFT,27-Jun-24,0.0,XX,614.0,619.0,568.0,601.35,601.35,6150,36822.3,11974000,364000,4-Jun-24,3449.6,10532.740000000002,44.7502157718496,578.8969306162471,1519.5410069548718
,BSOFT,25-Jul-24,0.0,XX,611.15,616.1,570.75,603.45,603.45,623,3748.3,580000,25000,4-Jun-24,3452.3799999999997,7748.6050000000005,44.7529638864014,132.2376852016332,1242.0803426042241
,BSOFT,29-Aug-24,0.0,XX,610.0,618.0,583.25,618.0,608.95,27,162.12,14000,10000,4-Jun-24,2508.84,4986.035,44.773460421909036,-218.05531545313988,950.0532109927514
,CANBK,27-Jun-24,0.0,XX,128.0,128.0,96.95,109.8,109.8,38380,293857.4,210708000,-11907000,4-Jun-24,1456.8700000000001,1974.7450000000001,44.15724887267998,-530.5566086675271,653.9312470606957
,CANBK,25-Jul-24,0.0,XX,126.0,131.0,97.95,110.7,110.7,2890,22129.16,7128000,1498500,4-Jun-24,408.66,1927.605,44.15871461325832,-769.275780175466,369.28984161346335
,CANBK,29-Aug-24,0.0,XX,127.2,130.05,101.0,111.55,111.55,462,3639.15,2517750,1437750,4-Jun-24,310.70000000000005,1880.15,44.16020533030462,-947.4719882779768,105.93747563517532
,CANFINHOME,27-Jun-24,0.0,XX,753.85,753.85,681.75,696.7,696.7,3910,27077.74,3929250,-219375,4-Jun-24,329.35,1890.8649999999998,45.2438959597881,-1029.6083679790554,-121.17169308767085
,CANFINHOME,25-Jul-24,0.0,XX,737.9,745.0,683.1,694.25,694.25,327,2262.85,183300,-975,4-Jun-24,344.6,1426.7199999999998,45.23993712793018,-1082.4222453177458,-313.4218035336859
,CANFINHOME,29-Aug-24,0.0,XX,745.0,759.85,693.45,700.3,700.3,8,55.96,8775,4875,4-Jun-24,462.7,959.7849999999999,45.25267637991781,-1110.982721918512,-472.9339872106511
